loss,val_ser,val_mv2h,val_recon_ser,test_ser,test_mv2h,test_recon_ser
3.324097156524658,931.2935141077318,0.0,96.31502890173411,-,-,-
2.905212640762329,930.3041407108831,0.0,96.31502890173411,-,-,-
2.5431225299835205,929.1681934774642,0.0,104.04624277456648,-,-,-
2.5236873626708984,925.4305606449249,0.0,116.97976878612717,-,-,-
2.501842975616455,931.2202271894466,0.0,195.8092485549133,-,-,-
2.4623827934265137,931.7332356174422,0.0,207.73121387283237,-,-,-
2.2819039821624756,932.9791132282887,3.7785900549910147,561.2716763005781,-,-,-
2.1157524585723877,929.9377061194576,1.5180657851691453,524.5664739884393,-,-,-
2.121966600418091,929.6079149871748,5.390359830261453,644.1473988439307,-,-,-
1.9900343418121338,928.3620373763283,5.786162840350382,629.8410404624277,-,-,-
2.089146137237549,930.1209234151704,5.689863173877023,564.956647398844,-,-,-
2.376499652862549,926.4932209600586,6.255191954497421,772.6156069364162,-,-,-
2.2761054039001465,924.4778307072188,4.435524471949756,674.2052023121387,-,-,-
2.1311748027801514,924.3312568706486,6.4739090681225155,738.0780346820809,-,-,-
2.0520050525665283,924.0747526566508,3.1863203553026147,747.9768786127167,-,-,-
2.173576831817627,926.383290582631,4.5327314960086085,684.8988439306358,-,-,-
2.0891590118408203,927.5925247343349,6.632361368280883,686.2716763005781,-,-,-
2.2188966274261475,927.4093074386222,5.224075463788824,681.5028901734104,-,-,-
2.0901424884796143,923.9281788200806,7.7469193087180654,692.2687861271677,-,-,-
2.0181665420532227,924.5144741663613,4.283782275577452,832.1531791907514,-,-,-
2.027486801147461,924.0381091975082,5.3951307103035475,802.1676300578034,-,-,-
1.8244242668151855,923.5251007695126,6.5307507226886985,821.7485549132948,-,-,-
1.6976794004440308,924.221326493221,6.231574535408049,816.7630057803468,-,-,-
1.8602068424224854,922.9754488823745,3.9323960882889906,767.5578034682081,-,-,-
1.9150221347808838,920.5203371198241,3.5794060190103547,755.2745664739884,-,-,-
1.6728817224502563,923.012092341517,8.36144634032495,835.7658959537572,-,-,-
1.718258261680603,919.7874679369733,7.228403553323387,808.6705202312139,-,-,-
1.6194287538528442,921.9860754855258,3.3176730493532807,807.7312138728323,-,-,-
1.7101298570632935,924.0747526566508,3.9548714432136647,784.320809248555,-,-,-
1.743104100227356,921.6929278123855,2.1126400147117854,783.6705202312139,-,-,-
1.7340283393859863,921.7662147306705,4.607335480518062,812.3554913294797,-,-,-
1.656899333000183,919.2011725906925,2.847079572822947,832.514450867052,-,-,-
1.4431805610656738,917.00256504214,5.5813196401380525,822.0375722543353,-,-,-
1.551904559135437,915.8299743495786,6.351929299347997,751.5895953757225,-,-,-
1.422659158706665,917.3323561744229,6.206643304690871,796.0982658959538,-,-,-
1.992035150527954,921.0333455478197,3.5705345656719136,800.2890173410404,-,-,-
1.5147048234939575,920.2638329058263,4.764239039672229,767.9913294797688,-,-,-
1.7378039360046387,921.1066324661048,5.192316597737947,855.7080924855492,-,-,-
1.7277151346206665,920.8134847929645,8.263897852197061,747.6878612716763,-,-,-
1.7112661600112915,919.4576768046903,6.210178137550992,688.9450867052024,-,-,-
1.930024266242981,920.7401978746793,5.420223344488003,766.9075144508671,-,-,-
1.7741001844406128,918.1018688164163,4.787012189423036,779.5520231213873,-,-,-
1.7949504852294922,918.4316599486991,8.280508141037018,795.664739884393,-,-,-
1.5811676979064941,916.7460608281422,3.302398689767675,811.4884393063584,-,-,-
1.6428875923156738,916.9659215829975,5.447151042515867,780.9971098265896,-,-,-
1.389543056488037,917.4056430927079,5.4852072188893395,762.0664739884393,-,-,-
1.323779821395874,911.3228288750458,6.7980117874575114,768.4971098265896,-,-,-
1.6276445388793945,912.2755588127519,10.062371371630293,819.5086705202312,-,-,-
1.4593113660812378,917.1857823378527,7.21144243857098,795.664739884393,-,-,-
1.3837579488754272,915.2436790032979,5.285453072315743,804.5520231213873,-,-,-
1.7194373607635498,917.1491388787101,7.3229067359222455,805.8526011560693,-,-,-
1.5251047611236572,912.8984976181752,7.738159980590445,763.7283236994219,-,-,-
1.667784333229065,912.8984976181752,6.431289397288799,756.2861271676301,-,-,-
1.6485021114349365,911.9091242213265,6.08262364379842,763.6560693641618,-,-,-
1.3780694007873535,915.5734701355808,6.962257623957521,747.8323699421966,-,-,-
1.070605993270874,910.0403078050568,6.050282462503872,795.3034682080925,-,-,-
0.9722303748130798,915.5734701355808,7.060831353820792,783.7427745664739,-,-,-
1.5899580717086792,911.7259069256138,6.609086746097585,694.0028901734104,-,-,-
1.5710724592208862,912.9717845364603,10.587734102618448,741.4017341040462,-,-,-
1.7228286266326904,911.0296812019054,5.106059102387427,771.0260115606936,-,-,-
1.495456576347351,913.1916452913155,3.788343221971182,751.5895953757225,-,-,-
1.2380255460739136,910.1502381824844,3.5467105013142994,798.6994219653179,-,-,-
1.583203673362732,910.8098204470502,4.444720538989312,778.106936416185,-,-,-
1.2873345613479614,911.6159765481862,6.194591329469102,770.3034682080925,-,-,-
1.4543849229812622,908.5745694393551,4.60336146035746,761.849710982659,-,-,-
1.39741849899292,910.2235251007695,4.341546474528537,742.7023121387283,-,-,-
1.3956748247146606,907.4386222059362,2.9291759540535893,771.1705202312139,-,-,-
1.3388510942459106,913.8512275558812,4.4641538484927015,783.3815028901735,-,-,-
1.2338224649429321,912.3122022718944,4.114305156267966,783.7427745664739,-,-,-
1.1789175271987915,907.3653352876512,9.098470307639051,753.3236994219653,-,-,-
